title,url,category,technologies,english,experience
Python Developer,https://djinni.co/jobs/489108-python-developer/,Python,"['Python', 'Django', 'FastAPI', 'asyncio', 'aiohttp', 'CI', 'CD', 'Docker', 'Docker Compose', 'CouchDB']",Pre-Intermediate,3
Senior/Lead Python Developer (Krakow),https://djinni.co/jobs/489107-senior-lead-python-developer-krakow-/,Python,"['Python', 'GCP', 'Python3']",Upper-Intermediate,5
Python Developer,https://djinni.co/jobs/469731-python-developer/,Python,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'MondoDB']",Intermediate,1
Middle/Senior Backend Python Developer,https://djinni.co/jobs/471240-middle-senior-backend-python-developer/,Python,"['Python', 'Django', 'Redis', 'MySQL', 'API']",Intermediate,3
Senior Python Software Developer,https://djinni.co/jobs/470575-senior-python-software-developer/,Python,"['Python', 'AWS', 'SQL', 'NoSQL', 'Blockchain', 'Microservices', 'Terraform', 'K8s']",Intermediate,5
Python Developer,https://djinni.co/jobs/484236-python-developer/,Python,"['Python', 'back-end', 'Java', 'Google Cloud Platform', 'CI', 'CD', 'NoSQL', 'RESTful API']",Pre-Intermediate,3
Python Developer,https://djinni.co/jobs/484207-python-developer/,Python,"['Python', 'Backend development', 'junior', 'lutsk', 'Django']",Intermediate,1
High Scale python developer,https://djinni.co/jobs/340777-high-scale-python-developer/,Python,"['Django', 'Django Rest Framework', 'GoLang', 'Go', 'Celery', 'MySQL', 'Postgres', 'Google BigQuery', 'GCP']",,2
Python Developer,https://djinni.co/jobs/470829-python-developer/,Python,"['Python', 'GraphQL', 'NoSQL', 'Gitlab CI', 'AWS']",Intermediate,3
Middle/Senior Python Developer,https://djinni.co/jobs/484162-middle-senior-python-developer/,Python,,Intermediate,3
Senior Software Engineer (Python),https://djinni.co/jobs/470570-senior-software-engineer-python-/,Python,"['Python', 'Blockchain', 'AWS', 'Microservices', 'SQL', 'NoSQL', 'architecture', 'K8s']",Intermediate,5
Senior QA Automation Engineer,https://djinni.co/jobs/431783-senior-qa-automation-engineer/,Python,"['Python', 'Linux', 'L2', 'L3 networking', 'QA', 'Automated Testing', 'Networking']",Intermediate,5
QA Automation Engineer,https://djinni.co/jobs/484144-qa-automation-engineer/,Python,"['Automated Testing', 'Automation QA', 'Python', 'Linux', 'Networking']",Upper-Intermediate,2
Full-stack React + Python Developer,https://djinni.co/jobs/484110-full-stack-react-python-developer/,Python,"['Typescript', 'JavaScript', 'React', 'Python', 'RESTful APIs', 'Docker', 'SQL and NoSQL']",Upper-Intermediate,3
Middle Python Developer,https://djinni.co/jobs/484074-middle-python-developer/,Python,['Python'],Upper-Intermediate,3
Python Developer,https://djinni.co/jobs/484066-python-developer/,Python,"['Python', 'Backend development']",Intermediate,2
Senior Python Backend Developer For Crypto Startup,https://djinni.co/jobs/484006-senior-python-backend-developer-for-crypto-st/,Python,"['Python', 'AWS', 'Blockchain', 'Solidity']",Intermediate,5
Python (NodeJS) full stack engineer,https://djinni.co/jobs/483973-python-nodejs-full-stack-engineer/,Python,"['Python', 'Node JS', 'React', 'Angular', 'Vue', 'Cloud', 'IaC']",Intermediate,5
"Python developer
          

          

          
  
    
      $1000-3500",https://djinni.co/jobs/483907-python-developer/,Python,"['Python', 'embedded']",,2
Lead/Senior Software Engineer,https://djinni.co/jobs/486806-lead-senior-software-engineer/,Python,"['Big Data', 'Machine Learning', 'Python', 'C', 'C++']",Upper-Intermediate,5
"Python Developer (Django)
          

          

          
  
    
      $3000-5500",https://djinni.co/jobs/345281-python-developer-django-/,Python,"['Django', 'Rabbit MQ', 'Docker', 'Kubernetes', 'Python', 'AWS', 'PostgreSQL']",Upper-Intermediate,3
Lead Python Engineer,https://djinni.co/jobs/486792-lead-python-engineer/,Python,"['Python3', 'Asyncronous Programming', 'Team leading', 'Technical Leadership', 'FastAPI']",Intermediate,5
Python Developer,https://djinni.co/jobs/409427-python-developer/,Python,,Intermediate,2
Senior/Lead Python Engineer IRC162159,https://djinni.co/jobs/438757-senior-lead-python-engineer-irc162159/,Python,['Python'],Intermediate,5
"Python Developer (Poland)
          

          

          
  
    
      $3000-5500",https://djinni.co/jobs/321578-python-developer-poland-/,Python,"['Python', 'Django']",Intermediate,2
Middle Fullstack (Python+React.js) Developer,https://djinni.co/jobs/486763-middle-fullstack-python-react-js-developer/,Python,"['Python', 'React', 'Redis', 'Docker']",Intermediate,2
Senior Python Software Engineer,https://djinni.co/jobs/486747-senior-python-software-engineer/,Python,"['Python', 'FastAPI', 'Docker', 'AWS', 'MongoDB', 'ElasticSearch', 'Kafka']",Upper-Intermediate,5
Python Developer,https://djinni.co/jobs/486724-python-developer/,Python,['AWS services'],Upper-Intermediate,3
"Middle/Senior Data Engineer (Prom.ua)
          

          

          
  
      до $5000",https://djinni.co/jobs/448841-middle-senior-data-engineer-prom-ua-/,Python,,,5
Senior Software Engineer (Python expertise),https://djinni.co/jobs/429442-senior-software-engineer-python-expertise-/,Python,"['Python', 'C#', 'JavaScript', 'NodeJS']",Upper-Intermediate,5
Senior Python Engineer,https://djinni.co/jobs/486683-senior-python-engineer/,Python,"['Python', 'JavaScript']",Advanced/Fluent,3
"Backend Team Lead (Aachen, Germany)",https://djinni.co/jobs/486678-backend-team-lead-aachen-germany-/,Python,,Upper-Intermediate,5
Senior Python Engineer,https://djinni.co/jobs/486677-senior-python-engineer/,Python,,Upper-Intermediate,3
Технічний керівник / Python Tech Lead / Senior Python Developer (ENESTECH Software),https://djinni.co/jobs/486602-tekhnichnii-kerivnik-python-tech-lead-senior-/,Python,"['Technical Leadership', 'Python', 'Django REST Framework', 'Django', 'Backend development', 'Frontend + Backend', 'REST API']",Intermediate,5
Senіоr Sоftwаre Engіneer (Pythоn),https://djinni.co/jobs/459046-senior-software-engineer-python-/,Python,,Intermediate,5
"Middle Python Developer (crypto)
          

          

          
  
      до $5000",https://djinni.co/jobs/484763-middle-python-developer-crypto-/,Python,,,2
Middle Python Developer,https://djinni.co/jobs/328481-middle-python-developer/,Python,"['Python', 'Python+pytest+Selenium WebDriver', 'Python3', 'python developer']",,1
Middle Python Developer in Test (Malevich),https://djinni.co/jobs/471077-middle-python-developer-in-test-malevich-/,Python,"['Pytest', 'Python', 'aQA', 'Unit Test']",,2
"Python developer
          

          

          
  
    
      $2000-3000",https://djinni.co/jobs/464106-python-developer/,Python,['Python developer'],Pre-Intermediate,2
Python Developer (Senior),https://djinni.co/jobs/356110-python-developer-senior-/,Python,"['Python', 'Django', 'OOP']",Upper-Intermediate,3
Python/Django Backend Developer / Comeet,https://djinni.co/jobs/471109-python-django-backend-developer-comeet/,Python,"['Django', 'Python', 'Django']",Intermediate,3
Senior/Tech Lead Python Backend Developer / DeviceTotal,https://djinni.co/jobs/471732-senior-tech-lead-python-backend-developer-dev/,Python,['Python'],Upper-Intermediate,3
